Day,Tire,Pressure,TireTemp,DailyDistance,AmbientTemp
1.1,FL,2.2193640568796207,6.82344553898384,13,-3.227271066109966
1.1,FR,2.181425512620057,6.82344553898384,13,-3.227271066109966
1.1,RR,2.1767991431062685,6.82344553898384,13,-3.227271066109966
1.1,RL,2.1770105400908926,6.82344553898384,13,-3.227271066109966
1.2,FL,2.205136410408201,10.577818398696023,13,-3.6710878367251922
1.2,FR,2.17981487144705,10.577818398696023,13,-3.6710878367251922
1.2,RR,2.229291160269719,10.577818398696023,13,-3.6710878367251922
1.2,RL,2.22561125641973,10.577818398696023,13,-3.6710878367251922
1.3,FL,2.207266425906314,12.431235676125644,13,4.67096268395564
1.3,FR,2.1973232068804323,12.431235676125644,13,4.67096268395564
1.3,RR,2.1870131020853694,12.431235676125644,13,4.67096268395564
1.3,RL,2.17639134682327,12.431235676125644,13,4.67096268395564
1.4,FL,2.1800876802459963,7.596565890462525,13,-1.8837557543067747
1.4,FR,2.1775056662653283,7.596565890462525,13,-1.8837557543067747
1.4,RR,2.2037609259508995,7.596565890462525,13,-1.8837557543067747
1.4,RL,2.1953542506670827,7.596565890462525,13,-1.8837557543067747
1.5,FL,2.1958013479504492,1.72028603761123,13,1.6043352501619088
1.5,FR,2.227223895234625,1.72028603761123,13,1.6043352501619088
1.5,RR,2.1823436553967555,1.72028603761123,13,1.6043352501619088
1.5,RL,2.1882374238166897,1.72028603761123,13,1.6043352501619088
2.1,FL,2.205485594251922,9.806659993912504,14,3.8523528181221343
2.1,FR,2.1955618334913454,9.806659993912504,14,3.8523528181221343
2.1,RR,2.229667799488485,9.806659993912504,14,3.8523528181221343
2.1,RL,2.1985598370846917,9.806659993912504,14,3.8523528181221343
2.2,FL,2.205324299261906,2.1543862068601234,14,-2.785983491881502
2.2,FR,2.1843306095678576,2.1543862068601234,14,-2.785983491881502
2.2,RR,2.1891375731047735,2.1543862068601234,14,-2.785983491881502
2.2,RL,2.199096115959892,2.1543862068601234,14,-2.785983491881502
2.3,FL,2.2067269478244764,6.019458109384274,14,-3.6880422427921697
2.3,FR,2.1769034621406806,6.019458109384274,14,-3.6880422427921697
2.3,RR,2.2043895188047062,6.019458109384274,14,-3.6880422427921697
2.3,RL,2.1746647551326883,6.019458109384274,14,-3.6880422427921697
2.4,FL,2.2120869561795033,6.811790887796903,14,5.0440263018836085
2.4,FR,2.171697970774682,6.811790887796903,14,5.0440263018836085
2.4,RR,2.1870072216374106,6.811790887796903,14,5.0440263018836085
2.4,RL,2.1947262686927154,6.811790887796903,14,5.0440263018836085
2.5,FL,2.2112219369543102,14.59111797934,14,9.713865156965099
2.5,FR,2.1750311468436787,14.59111797934,14,9.713865156965099
2.5,RR,2.2104645562286183,14.59111797934,14,9.713865156965099
2.5,RL,2.1946308327013626,14.59111797934,14,9.713865156965099
3.1,FL,2.1727690420612213,2.4938783611137403,18,6.730885031979168
3.1,FR,2.1818737768676497,2.4938783611137403,18,6.730885031979168
3.1,RR,2.2197486417644776,2.4938783611137403,18,6.730885031979168
3.1,RL,2.222803430844003,2.4938783611137403,18,6.730885031979168
3.2,FL,2.183888578139103,4.909104058487936,18,5.473310593253913
3.2,FR,2.2131610016042607,4.909104058487936,18,5.473310593253913
3.2,RR,2.2017710979159144,4.909104058487936,18,5.473310593253913
3.2,RL,2.1856084660621007,4.909104058487936,18,5.473310593253913
3.3,FL,2.1739767251713498,1.5954567837690419,18,-2.6225767790627734
3.3,FR,2.2127108586008486,1.5954567837690419,18,-2.6225767790627734
3.3,RR,2.184244817783785,1.5954567837690419,18,-2.6225767790627734
3.3,RL,2.218771292302136,1.5954567837690419,18,-2.6225767790627734
3.4,FL,2.1833495797932234,14.479431844127388,18,6.551355997178172
3.4,FR,2.2166647892566447,14.479431844127388,18,6.551355997178172
3.4,RR,2.224824856135168,14.479431844127388,18,6.551355997178172
3.4,RL,2.22058359548097,14.479431844127388,18,6.551355997178172
3.5,FL,2.2200634583257064,1.9171209090674326,18,-1.092632000664417
3.5,FR,2.1847962609265137,1.9171209090674326,18,-1.092632000664417
3.5,RR,2.2159259163575347,1.9171209090674326,18,-1.092632000664417
3.5,RL,2.2245914971872365,1.9171209090674326,18,-1.092632000664417
4.1,FL,2.1876580312041587,8.503230993892743,28,3.5671147640836525
4.1,FR,2.196992191581873,8.503230993892743,28,3.5671147640836525
4.1,RR,2.1799279435919274,8.503230993892743,28,3.5671147640836525
4.1,RL,2.213819721845866,8.503230993892743,28,3.5671147640836525
4.2,FL,2.209121825619257,2.138132361808079,28,2.853971905367259
4.2,FR,2.200150149128477,2.138132361808079,28,2.853971905367259
4.2,RR,2.194079899682021,2.138132361808079,28,2.853971905367259
4.2,RL,2.1958289779493505,2.138132361808079,28,2.853971905367259
4.3,FL,2.1872784198919346,7.481042451875508,28,-3.0109275581910895
4.3,FR,2.2028266793995086,7.481042451875508,28,-3.0109275581910895
4.3,RR,2.2180704393108814,7.481042451875508,28,-3.0109275581910895
4.3,RL,2.199860382803304,7.481042451875508,28,-3.0109275581910895
4.4,FL,2.199630923469454,1.6260122096842866,28,-0.5200000992515932
4.4,FR,2.173184824705547,1.6260122096842866,28,-0.5200000992515932
4.4,RR,2.219775689503429,1.6260122096842866,28,-0.5200000992515932
4.4,RL,2.2108762244250837,1.6260122096842866,28,-0.5200000992515932
4.5,FL,2.2267355436277185,10.00622561454298,28,3.877356259905233
4.5,FR,2.194266715641777,10.00622561454298,28,3.877356259905233
4.5,RR,2.1826708149384126,10.00622561454298,28,3.877356259905233
4.5,RL,2.2285716164239737,10.00622561454298,28,3.877356259905233
5.1,FL,2.199923266461632,8.602747836440672,16,4.964292697099973
5.1,FR,2.2113039844054874,8.602747836440672,16,4.964292697099973
5.1,RR,2.189011040693803,8.602747836440672,16,4.964292697099973
5.1,RL,2.2289060825348717,8.602747836440672,16,4.964292697099973
5.2,FL,2.2016207591463846,11.843971529757317,16,1.2675573792743204
5.2,FR,2.1939471342415136,11.843971529757317,16,1.2675573792743204
5.2,RR,2.17331849594065,11.843971529757317,16,1.2675573792743204
5.2,RL,2.20742047628556,11.843971529757317,16,1.2675573792743204
5.3,FL,2.215251824427858,10.54425907175261,16,3.441540680573592
5.3,FR,2.182222770097617,10.54425907175261,16,3.441540680573592
5.3,RR,2.193517360612282,10.54425907175261,16,3.441540680573592
5.3,RL,2.2002147063346222,10.54425907175261,16,3.441540680573592
5.4,FL,2.1910966258560793,8.943838981620413,16,9.302279900007317
5.4,FR,2.2271946971578016,8.943838981620413,16,9.302279900007317
5.4,RR,2.2126797312281985,8.943838981620413,16,9.302279900007317
5.4,RL,2.1730040184957233,8.943838981620413,16,9.302279900007317
5.5,FL,2.198736809197214,5.0353682804657725,16,4.211054784580384
5.5,FR,2.1820935217765403,5.0353682804657725,16,4.211054784580384
5.5,RR,2.221691892988789,5.0353682804657725,16,4.211054784580384
5.5,RL,2.2165463405294403,5.0353682804657725,16,4.211054784580384
6.1,FL,2.2015131142541646,4.992843351937303,8,5.742346346448388
6.1,FR,2.176416544373708,4.992843351937303,8,5.742346346448388
6.1,RR,2.2100810308025087,4.992843351937303,8,5.742346346448388
6.1,RL,2.2164810258746352,4.992843351937303,8,5.742346346448388
6.2,FL,2.2033323490663577,13.221145409008107,8,-2.760007564690123
6.2,FR,2.185771109667686,13.221145409008107,8,-2.760007564690123
6.2,RR,2.177504798134143,13.221145409008107,8,-2.760007564690123
6.2,RL,2.1843175993840767,13.221145409008107,8,-2.760007564690123
6.3,FL,2.1985611202605226,7.905436575776951,8,-0.9077873303502817
6.3,FR,2.189223657350703,7.905436575776951,8,-0.9077873303502817
6.3,RR,2.1835229595685157,7.905436575776951,8,-0.9077873303502817
6.3,RL,2.1716292523861425,7.905436575776951,8,-0.9077873303502817
6.4,FL,2.186750093316328,10.540950097701916,8,8.439280840574563
6.4,FR,2.1923453942244273,10.540950097701916,8,8.439280840574563
6.4,RR,2.2121642660853924,10.540950097701916,8,8.439280840574563
6.4,RL,2.1867137079536403,10.540950097701916,8,8.439280840574563
6.5,FL,2.1779951725240076,9.122715557419193,8,1.6771446208485052
6.5,FR,2.219161604234186,9.122715557419193,8,1.6771446208485052
6.5,RR,2.1787529184160976,9.122715557419193,8,1.6771446208485052
6.5,RL,2.1870125908446663,9.122715557419193,8,1.6771446208485052
7.1,FL,2.1722441931615677,10.430027318500002,41,5.24875777328565
7.1,FR,2.1899424594156276,10.430027318500002,41,5.24875777328565
7.1,RR,2.1910299052865354,10.430027318500002,41,5.24875777328565
7.1,RL,2.1897002717254623,10.430027318500002,41,5.24875777328565
7.2,FL,2.1733374161954755,14.818646754487462,41,1.2603743903061293
7.2,FR,2.2065186424156353,14.818646754487462,41,1.2603743903061293
7.2,RR,2.2181139341506846,14.818646754487462,41,1.2603743903061293
7.2,RL,2.1807117563290346,14.818646754487462,41,1.2603743903061293
7.3,FL,2.196599966995723,1.5115506694132752,41,6.438072625066889
7.3,FR,2.1724648270383433,1.5115506694132752,41,6.438072625066889
7.3,RR,2.2117267165130894,1.5115506694132752,41,6.438072625066889
7.3,RL,2.198742640126764,1.5115506694132752,41,6.438072625066889
7.4,FL,2.1791947819987496,6.384115538562274,41,-2.970914496161496
7.4,FR,2.1730746855513297,6.384115538562274,41,-2.970914496161496
7.4,RR,2.2247331399479235,6.384115538562274,41,-2.970914496161496
7.4,RL,2.1966826921309384,6.384115538562274,41,-2.970914496161496
7.5,FL,2.2180377133001885,4.764084102349615,41,9.67131503377992
7.5,FR,2.211693496992864,4.764084102349615,41,9.67131503377992
7.5,RR,2.1857661347520674,4.764084102349615,41,9.67131503377992
7.5,RL,2.213605368809327,4.764084102349615,41,9.67131503377992
8.1,FL,2.2036965243915443,6.552721022212596,38,7.138208953840049
8.1,FR,2.1873611817645204,6.552721022212596,38,7.138208953840049
8.1,RR,2.2116811897504824,6.552721022212596,38,7.138208953840049
8.1,RL,2.1737795653107415,6.552721022212596,38,7.138208953840049
8.2,FL,2.2158966737593926,11.277175304787654,38,-2.7395472183170995
8.2,FR,2.1959011249392337,11.277175304787654,38,-2.7395472183170995
8.2,RR,2.1731482581384087,11.277175304787654,38,-2.7395472183170995
8.2,RL,2.2049874916595007,11.277175304787654,38,-2.7395472183170995
8.3,FL,2.1744831478888877,10.95767416365316,38,-2.621955743555798
8.3,FR,2.2192483835878907,10.95767416365316,38,-2.621955743555798
8.3,RR,2.1811932682132955,10.95767416365316,38,-2.621955743555798
8.3,RL,2.1973691378712252,10.95767416365316,38,-2.621955743555798
8.4,FL,2.225008831347624,8.694657462485502,38,5.529484715943866
8.4,FR,2.2190044646064773,8.694657462485502,38,5.529484715943866
8.4,RR,2.2109967335806977,8.694657462485502,38,5.529484715943866
8.4,RL,2.2031001350827073,8.694657462485502,38,5.529484715943866
8.5,FL,2.221545430884156,12.121678823123615,38,4.527419294175189
8.5,FR,2.1821306273938177,12.121678823123615,38,4.527419294175189
8.5,RR,2.171287094638526,12.121678823123615,38,4.527419294175189
8.5,RL,2.189676178090501,12.121678823123615,38,4.527419294175189
9.1,FL,2.220016957062535,13.822917261264038,8,1.7018982980091275
9.1,FR,2.179328925167408,13.822917261264038,8,1.7018982980091275
9.1,RR,2.1911182513522833,13.822917261264038,8,1.7018982980091275
9.1,RL,2.201304045518281,13.822917261264038,8,1.7018982980091275
9.2,FL,2.1741759663307905,11.804042253392067,8,-1.8247911380024373
9.2,FR,2.22780772694555,11.804042253392067,8,-1.8247911380024373
9.2,RR,2.21106672576964,11.804042253392067,8,-1.8247911380024373
9.2,RL,2.1855158316257173,11.804042253392067,8,-1.8247911380024373
9.3,FL,2.2287890143129907,1.1346456839397763,8,-3.524229785654441
9.3,FR,2.1864405250272227,1.1346456839397763,8,-3.524229785654441
9.3,RR,2.2184714711865436,1.1346456839397763,8,-3.524229785654441
9.3,RL,2.2027585556536162,1.1346456839397763,8,-3.524229785654441
9.4,FL,2.206708693108503,7.608622222285499,8,3.533141393725174
